Date,TabsOpened
13-Feb,82
12-Feb,315
11-Feb,81
10-Feb,6
9-Feb,81
8-Feb,0
7-Feb,61
6-Feb,49
5-Feb,121
4-Feb,4
3-Feb,21
2-Feb,53
1-Feb,10
31-Jan,49
30-Jan,2
29-Jan,70
28-Jan,48
27-Jan,0
26-Jan,86
25-Jan,44
24-Jan,23
23-Jan,29
22-Jan,113
21-Jan,0
20-Jan,14
19-Jan,39
18-Jan,0
17-Jan,0
16-Jan,72
15-Jan,65
14-Jan,44
